品种,趋势强度,日期,文件名
黄金,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
白银,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
铜,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
锌,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
铅,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
锡,-1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
铝,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
氧化铝,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
铝合金,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
镍,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
不锈钢,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
碳酸锂,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
工业硅,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
多晶硅,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
铁矿石,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
螺纹钢,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
热轧卷板,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
硅铁,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
锰硅,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
焦炭,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
焦煤,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
动力煤,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
原木,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
对二甲苯,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
PTA,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
MEG,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
